Macthweek,Opposition,Player Number,Player Team,Min,Sec,X,Y,Situation ,ShotType ,xG,Result 
1,Balaguer ,11,Turo,4,50,76,54,OpenPlay,LeftFoot,0.028,No Goal
1,Balaguer ,20,Balaguer,6,4,18,93,OpenPlay,RightFoot,0.001,No Goal
1,Balaguer ,8,Balaguer,9,40,26,66,OpenPlay,RightFoot,0.018,No Goal
1,Balaguer ,7,Balaguer,20,7,11,35,OpenPlay,RightFoot,0.111,No Goal
1,Balaguer ,20,Balaguer,28,35,10,33,OpenPlay,RightFoot,0.04,No Goal
1,Balaguer ,7,Turo,32,59,77,63,OpenPlay,LeftFoot,0.024,No Goal
1,Balaguer ,7,Turo,36,11,93,50,OpenPlay,RightFoot,0.185,No Goal
1,Balaguer ,10,Balaguer,36,53,27,38,OpenPlay,LeftFoot,0.023,No Goal
1,Balaguer ,5,Balaguer,42,13,19,10,Freekick,RightFoot,0.009,No Goal
1,Balaguer ,6,Turo,43,18,68,46,OpenPlay,LeftFoot,0.019,No Goal
1,Balaguer ,8,Balaguer,43,42,13,39,OpenPlay,RightFoot,0.081,No Goal
1,Balaguer ,22,Balaguer,48,5,94,54,OpenPlay,Head,0.182,No Goal
1,Balaguer ,14,Balaguer,51,42,92,74,OpenPlay,RightFoot,0.049,No Goal
1,Balaguer ,7,Turo,54,19,11,38,OpenPlay,RightFoot,0.095,No Goal
1,Balaguer ,18,Turo,78,51,10,66,OpenPlay,RightFoot,0.126,No Goal
1,Balaguer ,9,Turo,79,33,18,81,OpenPlay,RightFoot,0.016,No Goal
1,Balaguer ,7,Turo,80,5,30,74,OpenPlay,RightFoot,0.023,No Goal
1,Balaguer ,22,Turo,84,29,25,50,OpenPlay,RightFoot,0.027,No Goal
1,Balaguer ,23,Balaguer,85,46,84,44,OpenPlay,Head,0.086,No Goal
1,Balaguer ,14,Balaguer,89,45,81,70,OpenPlay,RightFoot,0.0031,No Goal
1,Balaguer ,22,Turo,90,0,11,58,OpenPlay,RightFoot,0.189,No Goal
1,Balaguer ,7,Turo,90,0,10,68,OpenPlay,RightFoot,0.068,
3,Igualada,23,Igualada,N/A,N/A,92,31,OpenPlay,Head,0.042,No Goal
3,Igualada,24,Igualada,N/A,N/A,77,12,OpenPlay,RightFoot,0.01,Goal
3,Igualada,9,Turo,N/A,N/A,9,62,OpenPlay,LeftFoot,0.051,Goal
3,Igualada,18,Turo,N/A,N/A,18,50,OpenPlay,RightFoot,0.052,No Goal
3,Igualada,7,Igualada,N/A,N/A,92,43,OpenPlay,RightFoot,0.461,Goal
3,Igualada,8,Turo,N/A,N/A,21,56,OpenPlay,LeftFoot,0.049,No Goal
3,Igualada,24,Turo,N/A,N/A,11,25,OpenPlay,RightFoot,0.039,No Goal
3,Igualada,24,Igualada,N/A,N/A,71,27,Freekick,RightFoot,0.015,No Goal
3,Igualada,17,Turo,N/A,N/A,10,42,OpenPlay,Head,0.081,No Goal
3,Igualada,21,Turo,N/A,N/A,22,50,Freekick,LeftFoot,0.031,No Goal
3,Igualada,24,Igualada,N/A,N/A,87,26,OpenPlay,RightFoot,0.038,No Goal
3,Igualada,23,Igualada,N/A,N/A,77,51,OpenPlay,RightFoot,0.024,No Goal
3,Igualada,23,Igualada,N/A,N/A,12,49,OpenPlay,Head,0.186,No Goal
3,Igualada,4,Turo,N/A,N/A,90,32,OpenPlay,LeftFoot,0.045,No Goal
