Team,Player,Event,Mins,Secs,X,Y,X2,Y2,Matchweek
Turo,5,Clearance,0,3,13,9,18,3,Matchweek 1
Balaguer,3,Tackle,0,3,13,91,-,-,Matchweek 1
Turo,16,Tackle,0,3,9,93,-,-,Matchweek 1
Balaguer,20,Tackle,0,3,38,95,-,-,Matchweek 1
Balaguer,22,Clearance,0,3,89,60,81,37,Matchweek 1
Turo,16,Loss of Possession ,0,3,28,89,33,86,Matchweek 1
Turo,4,Tackle,0,3,10,69,-,-,Matchweek 1
Turo,8,Tackle,0,3,32,72,-,-,Matchweek 1
Turo,10,Tackle,0,3,57,29,-,-,Matchweek 1
Balaguer,10,Foul ,0,3,64,32,-,-,Matchweek 1
Turo,8,Freekick,0,3,62,34,-,-,Matchweek 1
Balaguer,5,Clearance,0,3,91,50,90,3,Matchweek 1
Balaguer,5,Clearance,0,3,94,38,73,26,Matchweek 1
Turo,11,Shot,0,3,76,54,82,51,Matchweek 1
Turo,6,Tackle,0,3,34,97,-,-,Matchweek 1
Turo,16,Tackle,0,3,12,93,-,-,Matchweek 1
Turo,7,Clearance,0,3,5,60,23,75,Matchweek 1
Balaguer,20,Shot,0,3,18,93,0,44,Matchweek 1
Balaguer,22,Tackle,0,3,85,71,-,-,Matchweek 1
Turo,9,Tackle,0,3,76,67,-,-,Matchweek 1
Turo,7,Loss of Possession ,0,3,68,5,81,5,Matchweek 1
Balaguer,22,Loss of Possession ,0,1,78,57,77,61,Matchweek 1
Turo,5,Foul ,0,1,75,14,-,-,Matchweek 1
Balaguer,3,Freekick,0,1,76,16,-,-,Matchweek 1
Turo,16,Clearance,0,1,10,60,19,34,Matchweek 1
Balaguer,5,Tackle,0,1,81,25,-,-,Matchweek 1
Balaguer,3,Clearance,0,1,79,47,18,75,Matchweek 1
Turo,5,Tackle,0,1,8,33,-,-,Matchweek 1
Turo,5,Clearance,0,1,43,12,54,7,Matchweek 1
Balaguer,20,Tackle,0,1,70,59,-,-,Matchweek 1
Balaguer,8,Tackle,0,1,41,82,-,-,Matchweek 1
Turo,4,Clearance,0,1,26,61,60,58,Matchweek 1
Balaguer,20,Tackle,0,1,56,81,-,-,Matchweek 1
Turo,10,Tackle,0,1,33,75,-,-,Matchweek 1
Balaguer,8,Tackle,0,1,26,64,-,-,Matchweek 1
Balaguer,8,Shot,0,1,26,66,18,60,Matchweek 1
Turo,4,Clearance,0,1,15,64,17,94,Matchweek 1
Turo,4,Clearance,0,1,8,59,19,77,Matchweek 1
Turo,4,Clearance,0,1,18,64,54,71,Matchweek 1
Balaguer,3,Tackle,0,1,47,82,-,-,Matchweek 1
Turo,21,Clearance,0,1,20,28,48,4,Matchweek 1
Turo,4,Tackle,0,1,30,56,-,-,Matchweek 1
Balaguer,8,Foul ,0,1,40,63,-,-,Matchweek 1
Turo,10,Freekick,0,1,42,61,-,-,Matchweek 1
Balaguer,5,Tackle,0,1,65,5,-,-,Matchweek 1
Turo,10,Clearance,0,1,26,30,47,23,Matchweek 1
Turo,7,Foul ,0,1,62,10,-,-,Matchweek 1
Balaguer,5,Freekick,0,1,60,16,-,-,Matchweek 1
Turo,10,Tackle,0,1,27,52,-,-,Matchweek 1
Turo,6,Loss of Possession ,0,0,45,48,81,64,Matchweek 1
Turo,6,Foul ,0,0,66,27,-,-,Matchweek 1
Balaguer,3,Foul ,0,0,64,23,-,-,Matchweek 1
Turo,5,Clearance,0,0,17,29,31,43,Matchweek 1
Turo,8,Loss of Possession ,0,0,31,46,34,52,Matchweek 1
Turo,10,Clearance,0,0,31,47,42,38,Matchweek 1
Balaguer,6,Tackle,0,0,90,31,-,-,Matchweek 1
Balaguer,8,Clearance,0,0,77,86,40,65,Matchweek 1
Turo,16,Clearance,0,0,37,62,75,60,Matchweek 1
Turo,16,Tackle,0,0,23,64,-,-,Matchweek 1
Balaguer,3,Clearance,0,0,90,35,15,98,Matchweek 1
Balaguer,20,Clearance,0,0,44,90,28,80,Matchweek 1
Turo,10,Clearance,0,0,29,77,48,66,Matchweek 1
Balaguer,10,Clearance,0,0,48,69,45,99,Matchweek 1
Turo,9,Loss of Possession ,0,0,72,66,73,55,Matchweek 1
Turo,16,Clearance,0,0,29,78,70,85,Matchweek 1
Balaguer,5,Clearance,0,0,77,63,65,100,Matchweek 1
Balaguer,20,Tackle,0,0,70,65,-,-,Matchweek 1
Balaguer,8,Loss of Possession ,0,0,66,75,14,79,Matchweek 1
Turo,21,Loss of Possession ,0,0,30,11,90,68,Matchweek 1
Turo,4,Clearance,0,0,28,25,67,3,Matchweek 1
Turo,10,Tackle,0,0,25,21,-,-,Matchweek 1
Turo,10,Loss of Possession ,0,0,27,22,87,53,Matchweek 1
